Você é autônomo?,Quantos funcionários sua empresa ou organização possui?,Seu empregador é principalmente uma empresa/organização de tecnologia?,O seu empregador oferece benefícios de saúde mental como parte da cobertura de saúde?,Você conhece as opções de cuidados de saúde mental disponíveis sob sua cobertura fornecida pelo empregador?,"Seu empregador já discutiu formalmente a saúde mental (por exemplo, como parte de uma campanha de bem -estar ou outra comunicação oficial)?",O seu empregador oferece recursos para aprender mais sobre preocupações e opções de saúde mental para procurar ajuda?,O seu anonimato está protegido se você optar por aproveitar os recursos de tratamento de saúde mental ou abuso de substâncias fornecidos pelo seu empregador?,"Se um problema de saúde mental o levasse a solicitar uma licença médica do trabalho, pedir que a licença seria:",Você acha que discutir um distúrbio de saúde mental com seu empregador teria consequências negativas?,Você acha que discutir um problema de saúde física com seu empregador teria consequências negativas?,Você se sentiria à vontade para discutir um distúrbio de saúde mental com seus colegas de trabalho?,Você se sentiria confortável discutindo um distúrbio de saúde mental com seu (s) supervisor (s) direto (s)?,Você acha que seu empregador leva a saúde mental tão a sério quanto a saúde física?,Você já ouviu falar ou observar consequências negativas para os colegas de trabalho que foram abertos sobre problemas de saúde mental em seu local de trabalho?,Você estaria disposto a discutir um problema de saúde mental com seu (s) supervisor (s) direto (s)?,Você estaria disposto a apresentar um problema de saúde física com um empregador em potencial em uma entrevista?,Você traria um problema de saúde mental com um empregador em potencial em uma entrevista?,Você sente que ser identificado como uma pessoa com um problema de saúde mental prejudicaria sua carreira?,Você acha que os membros da equipe/colegas de trabalho o levariam mais negativamente se soubessem que você sofria de um problema de saúde mental?,Quão disposto você estaria em compartilhar com amigos e familiares que você tem uma doença mental?,Você tem um histórico familiar de doença mental?,Você já teve um distúrbio de saúde mental no passado?,Você atualmente tem um distúrbio de saúde mental?,Você foi diagnosticado com uma condição de saúde mental por um profissional médico?,Você já procurou tratamento para um problema de saúde mental de um profissional de saúde mental?,"Se você tem um problema de saúde mental, sente que isso interfere no seu trabalho ao ser tratado de maneira eficaz?","Se você tem um problema de saúde mental, sente que isso interfere no seu trabalho quando não é tratado de maneira eficaz?",Qual é a sua idade?,Qual é o seu gênero?,Qual das opções a seguir melhor descreve sua posição de trabalho?,Você trabalha remotamente?
0,500-1000,1.0,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,I don't know,Maybe,Maybe,"Yes, I think it would",Maybe,Very open,Yes,Yes,Yes,Yes,1,Sometimes,Often,31,m,Support,Always
0,More than 1000,0.0,Not eligible for coverage / N/A,,No,No,I don't know,Somewhat easy,Maybe,No,Yes,Yes,No,No,"No, at none of my previous employers",Maybe,Maybe,"No, I don't think it would","No, they do not",Somewhat open,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,24,,Back-end Developer|Front-end Developer,Sometimes
0,1-5,0.0,No,I am not sure,No,No,I don't know,Very difficult,Maybe,Maybe,Maybe,Maybe,No,Yes,,Yes,Maybe,"Yes, I think it would","Yes, I think they would",Neutral,No,Maybe,No,Yes,0,Sometimes,Sometimes,56,m,DevOps/SysAdmin,Sometimes
1,,,,,,,,,,,,,,,"No, at none of my previous employers",Maybe,No,"Yes, I think it would","No, I don't think they would",Very open,Yes,Yes,Yes,Yes,1,Often,Often,57,F,Back-end Developer,Always
0,100-500,1.0,I don't know,I am not sure,No,I don't know,Yes,I don't know,Maybe,No,Maybe,Maybe,I don't know,No,Some of my previous employers,Maybe,Maybe,Maybe,Maybe,Not applicable to me (I do not have a mental illness),No,No,No,No,0,Not applicable to me,Not applicable to me,39,M,Back-end Developer,Always
0,1-5,1.0,No,No,I don't know,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,Yes,No,Some of my previous employers,Maybe,Maybe,"Yes, I think it would","No, I don't think they would",Somewhat not open,Yes,Yes,No,Yes,1,Sometimes,Often,21,Male,DevOps/SysAdmin|Front-end Developer|Back-end Developer|Support,Never
0,500-1000,1.0,I don't know,No,No,I don't know,I don't know,Very easy,No,No,Maybe,Maybe,Yes,No,Some of my previous employers,No,No,"Yes, I think it would",Maybe,Very open,No,No,No,No,0,Not applicable to me,Not applicable to me,31,female,Dev Evangelist/Advocate,Sometimes
1,,,,,,,,,,,,,,,Some of my previous employers,Maybe,No,"Yes, I think it would","Yes, I think they would",Neutral,No,Yes,Yes,Yes,1,Often,Often,63,Male,DevOps/SysAdmin|Back-end Developer|One-person shop|Front-end Developer,Always
1,,,,,,,,,,,,,,,Some of my previous employers,Yes,Maybe,"Yes, it has",Maybe,Somewhat open,Yes,Yes,Yes,Yes,1,Often,Often,46,male,Designer,Always
0,6-25,1.0,I don't know,No,No,Yes,I don't know,Neither easy nor difficult,Maybe,No,No,Maybe,Yes,No,Some of my previous employers,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Yes,Yes,Yes,Yes,1,Rarely,Often,32,Female,Back-end Developer,Never
1,,,,,,,,,,,,,,,Some of my previous employers,Maybe,Maybe,"Yes, it has",Maybe,Very open,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,35,m,One-person shop|DevOps/SysAdmin|Executive Leadership,Sometimes
0,100-500,1.0,Yes,I am not sure,Yes,No,I don't know,Very easy,No,No,Maybe,Maybe,Yes,No,"Yes, at all of my previous employers",No,No,Maybe,Maybe,Somewhat open,No,No,No,No,0,Not applicable to me,Not applicable to me,34,Male,Supervisor/Team Lead,Sometimes
0,6-25,1.0,Not eligible for coverage / N/A,,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,Yes,No,"No, at none of my previous employers",Maybe,No,Maybe,"No, I don't think they would",Not open at all,Yes,Yes,Yes,Yes,1,Never,Rarely,35,male,Supervisor/Team Lead|Back-end Developer|Front-end Developer,Always
0,26-100,1.0,No,I am not sure,Yes,No,Yes,Very easy,No,No,Maybe,Yes,Yes,No,Some of my previous employers,Maybe,No,Maybe,Maybe,Somewhat open,No,No,No,No,0,Not applicable to me,Not applicable to me,31,Male,Executive Leadership,Sometimes
1,,,,,,,,,,,,,,,"No, at none of my previous employers",Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,35,F,Back-end Developer,Always
0,26-100,0.0,I don't know,No,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,"Yes, at all of my previous employers",Yes,Maybe,Maybe,"No, I don't think they would",Very open,No,No,No,No,0,Not applicable to me,Not applicable to me,36,Male,Supervisor/Team Lead,Sometimes
0,26-100,1.0,Yes,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,Yes,No,"No, at none of my previous employers",Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Yes,Yes,No,Yes,1,Never,Sometimes,50,Male,Back-end Developer,Sometimes
0,6-25,1.0,I don't know,I am not sure,No,No,Yes,Very easy,No,No,Maybe,Yes,I don't know,No,,No,No,Maybe,"No, I don't think they would",Somewhat open,Yes,Yes,Yes,Yes,1,Rarely,Rarely,31,Male,Supervisor/Team Lead,Sometimes
0,100-500,1.0,Yes,Yes,No,No,I don't know,I don't know,Maybe,Maybe,Yes,Maybe,I don't know,No,Some of my previous employers,No,No,Maybe,Maybe,Somewhat open,Yes,Yes,No,Yes,1,Sometimes,Often,47,male,Dev Evangelist/Advocate|Back-end Developer,Never
0,6-25,1.0,I don't know,I am not sure,No,I don't know,I don't know,Very difficult,Maybe,Maybe,Maybe,No,I don't know,Yes,"No, at none of my previous employers",No,No,"Yes, I think it would",Maybe,Somewhat open,No,No,No,No,1,Not applicable to me,Not applicable to me,32,Female,Front-end Developer|Back-end Developer|Supervisor/Team Lead,Never
0,26-100,1.0,Yes,Yes,No,No,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,No,I don't know,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,Yes,No,Yes,Yes,1,Sometimes,Often,23,Female,Designer,Never
0,6-25,1.0,Yes,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,No,Yes,Yes,Yes,No,Some of my previous employers,Maybe,No,"Yes, I think it would",Maybe,Very open,Yes,Yes,Yes,Yes,1,Rarely,Often,43,Female,Sales,Sometimes
0,6-25,1.0,Yes,Yes,No,No,I don't know,Neither easy nor difficult,No,No,Yes,Yes,Yes,No,"Yes, at all of my previous employers",Maybe,Maybe,Maybe,"No, I don't think they would",Very open,Yes,Maybe,No,No,0,Not applicable to me,Not applicable to me,26,Female,Designer,Sometimes
0,26-100,1.0,I don't know,I am not sure,No,I don't know,I don't know,I don't know,No,No,Maybe,Maybe,I don't know,No,"Yes, at all of my previous employers",Yes,No,Maybe,Maybe,Somewhat not open,Yes,Maybe,Maybe,No,0,Sometimes,Sometimes,26,female,Other,Never
0,6-25,1.0,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No,Some of my previous employers,Maybe,Maybe,"Yes, I think it would",Maybe,Somewhat open,No,No,No,No,0,Not applicable to me,Not applicable to me,55,Female,Executive Leadership,Sometimes
0,6-25,1.0,Yes,No,Yes,No,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,Yes,No,I don't know,No,No,Maybe,Maybe,Somewhat open,No,Yes,Yes,Yes,1,Often,Often,27,Male,Other,Never
0,100-500,1.0,Not eligible for coverage / N/A,No,No,I don't know,I don't know,Somewhat difficult,Maybe,No,No,No,I don't know,No,"No, at none of my previous employers",Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Yes,No,No,No,1,Not applicable to me,Not applicable to me,34,Male,Other,Always
0,26-100,1.0,No,,No,No,I don't know,Somewhat difficult,Yes,Maybe,No,No,I don't know,No,,Yes,Maybe,"Yes, I think it would","Yes, I think they would",Neutral,Yes,No,No,No,0,Not applicable to me,Not applicable to me,25,Male,Back-end Developer,Never
0,26-100,0.0,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Yes,No,Maybe,Yes,I don't know,No,"No, at none of my previous employers",No,No,"Yes, I think it would",Maybe,Somewhat open,No,No,No,No,0,Not applicable to me,Not applicable to me,35,male,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer|Front-end Developer,Sometimes
1,,,,,,,,,,,,,,,"No, at none of my previous employers",Maybe,Maybe,Maybe,"No, I don't think they would",Very open,No,Yes,Yes,Yes,1,Rarely,Sometimes,37,Male,Back-end Developer,Sometimes
0,26-100,1.0,Yes,I am not sure,No,Yes,I don't know,Very easy,No,No,Yes,Yes,Yes,No,"No, at none of my previous employers",Yes,No,Maybe,Maybe,Somewhat not open,I don't know,Yes,Yes,Yes,1,Rarely,Often,38,Female,Other,Sometimes
0,26-100,1.0,Yes,No,No,No,I don't know,Very difficult,Yes,Maybe,Maybe,Maybe,I don't know,No,"No, at none of my previous employers",Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,I don't know,Maybe,Maybe,No,1,Not applicable to me,Often,29,male,Front-end Developer,Never
0,500-1000,1.0,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,Yes,Maybe,Yes,No,,Yes,Maybe,Maybe,Maybe,Somewhat open,Yes,Maybe,Maybe,No,1,Sometimes,Often,28,Male,Designer,Always
0,6-25,1.0,Not eligible for coverage / N/A,,Yes,No,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,Maybe,Maybe,Maybe,Maybe,Very open,Yes,Yes,Maybe,Yes,1,Sometimes,Often,29,Male,Supervisor/Team Lead|Back-end Developer|Front-end Developer,Always
0,More than 1000,1.0,Yes,I am not sure,No,No,I don't know,Somewhat easy,No,No,Maybe,Yes,No,No,Some of my previous employers,Yes,Yes,"No, I don't think it would",Maybe,Somewhat not open,Yes,Maybe,Maybe,No,0,Rarely,Often,40,male,Dev Evangelist/Advocate,Always
0,26-100,1.0,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,,Yes,Maybe,"No, it has not","No, they do not",Somewhat open,No,Yes,Yes,Yes,1,Sometimes,Often,25,Female,Front-end Developer|Supervisor/Team Lead,Sometimes
1,,,,,,,,,,,,,,,Some of my previous employers,Maybe,Maybe,"No, I don't think it would",Maybe,Somewhat not open,No,Maybe,Maybe,No,0,Not applicable to me,Sometimes,29,Male,Back-end Developer,Sometimes
0,26-100,1.0,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,Maybe,Maybe,Maybe,"No, they do not",Somewhat open,Yes,Yes,Yes,Yes,0,Rarely,Often,29,F,Supervisor/Team Lead|DevOps/SysAdmin,Sometimes
0,1-5,1.0,Yes,Yes,No,Yes,I don't know,Very easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,Maybe,Maybe,"No, it has not","No, I don't think they would",Very open,No,Yes,Yes,Yes,1,Rarely,Sometimes,35,M,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer|Designer|Front-end Developer,Sometimes
1,,,,,,,,,,,,,,,,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,25,Male,Back-end Developer|Front-end Developer,Sometimes
0,26-100,1.0,No,Yes,No,No,I don't know,Somewhat difficult,No,No,Maybe,Maybe,I don't know,No,"No, at none of my previous employers",Yes,Yes,Maybe,Maybe,Somewhat open,No,Yes,Yes,Yes,1,Sometimes,Often,43,Male,DevOps/SysAdmin,Sometimes
0,6-25,1.0,No,,No,No,I don't know,Very easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,Yes,No,"No, I don't think it would","No, I don't think they would",Somewhat open,No,Maybe,No,No,0,Not applicable to me,Not applicable to me,26,Male,Front-end Developer|Back-end Developer|DevOps/SysAdmin,Never
0,100-500,1.0,I don't know,No,No,No,I don't know,Very easy,No,No,No,No,I don't know,No,"No, at none of my previous employers",No,No,"No, I don't think it would","No, I don't think they would",Somewhat not open,No,No,Maybe,No,1,Not applicable to me,Sometimes,31,male,Back-end Developer,Never
0,100-500,1.0,Yes,Yes,I don't know,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No,"No, at none of my previous employers",Yes,Yes,Maybe,"No, I don't think they would",Somewhat open,Yes,No,No,No,0,Not applicable to me,Not applicable to me,31,female,Other,Always
0,More than 1000,0.0,I don't know,No,No,No,I don't know,Somewhat difficult,Maybe,No,No,Yes,No,No,I don't know,Maybe,No,"Yes, it has",Maybe,Somewhat not open,I don't know,Yes,Yes,Yes,1,Never,Sometimes,45,F,DevOps/SysAdmin|Back-end Developer,Always
0,More than 1000,1.0,No,No,No,No,No,Somewhat easy,Maybe,No,No,No,I don't know,No,,Maybe,Maybe,"Yes, I think it would",Maybe,Somewhat open,I don't know,No,Maybe,No,0,Not applicable to me,Not applicable to me,23,Male,Front-end Developer|Back-end Developer|DevOps/SysAdmin,Never
0,6-25,1.0,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,I don't know,No,Some of my previous employers,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,39,Male,Supervisor/Team Lead,Never
0,26-100,1.0,Yes,I am not sure,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,"No, at none of my previous employers",Maybe,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat open,Yes,No,No,No,0,Not applicable to me,Not applicable to me,27,Female,Other,Sometimes
0,100-500,1.0,Yes,I am not sure,No,No,I don't know,Very easy,Maybe,No,Yes,Yes,I don't know,No,Some of my previous employers,Maybe,No,Maybe,"No, I don't think they would",Somewhat open,Yes,Yes,Yes,Yes,1,Rarely,Often,28,Male,Back-end Developer|Front-end Developer,Sometimes
0,500-1000,1.0,I don't know,No,No,I don't know,I don't know,I don't know,Maybe,No,Maybe,Maybe,No,No,"No, at none of my previous employers",No,No,Maybe,"Yes, I think they would",Neutral,No,No,Maybe,No,0,Not applicable to me,Often,36,Male,Dev Evangelist/Advocate|DevOps/SysAdmin,Always
0,100-500,1.0,I don't know,No,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,No,No,No,,Maybe,No,"Yes, I think it would",Maybe,Neutral,No,No,No,No,0,Not applicable to me,Not applicable to me,22,male,Back-end Developer,Never
0,1-5,1.0,Yes,I am not sure,No,I don't know,No,Neither easy nor difficult,No,No,Maybe,Yes,I don't know,No,Some of my previous employers,Maybe,No,"Yes, it has",Maybe,Somewhat open,I don't know,Maybe,No,No,1,Sometimes,Sometimes,51,Male,Support|Back-end Developer|Front-end Developer,Never
1,,,,,,,,,,,,,,,Some of my previous employers,Yes,Yes,Maybe,Maybe,Somewhat open,No,Maybe,Maybe,No,0,Not applicable to me,Rarely,39,Male,Front-end Developer|Back-end Developer|DevOps/SysAdmin,Sometimes
1,,,,,,,,,,,,,,,"No, at none of my previous employers",Maybe,No,Maybe,Maybe,Not open at all,Yes,Yes,Yes,No,1,Not applicable to me,Sometimes,36,Male,One-person shop|Front-end Developer|Back-end Developer|Supervisor/Team Lead|Executive Leadership,Sometimes
0,More than 1000,0.0,Not eligible for coverage / N/A,I am not sure,No,No,I don't know,Somewhat difficult,No,No,Yes,Yes,I don't know,No,Some of my previous employers,No,No,Maybe,"No, I don't think they would",Somewhat open,Yes,Yes,Yes,Yes,1,Rarely,Often,28,male,DevOps/SysAdmin|Support,Sometimes
0,100-500,1.0,I don't know,No,No,Yes,Yes,I don't know,Yes,Maybe,No,No,I don't know,No,Some of my previous employers,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,No,No,No,0,Not applicable to me,Not applicable to me,40,M,Dev Evangelist/Advocate|Back-end Developer|Designer|Front-end Developer,Always
0,26-100,1.0,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,"No, at none of my previous employers",Maybe,No,Maybe,Maybe,Very open,I don't know,Yes,Yes,Yes,1,Sometimes,Often,35,Female,Supervisor/Team Lead|Back-end Developer,Sometimes
0,100-500,1.0,Yes,Yes,No,No,I don't know,Somewhat difficult,Yes,No,No,No,No,No,Some of my previous employers,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Yes,Yes,Yes,Yes,1,Rarely,Often,38,Male,Supervisor/Team Lead,Never
0,100-500,1.0,Yes,I am not sure,No,No,I don't know,I don't know,Yes,Maybe,No,Maybe,I don't know,No,Some of my previous employers,No,No,"Yes, I think it would","Yes, I think they would",Neutral,Yes,Yes,Maybe,No,1,Sometimes,Often,29,Male,Back-end Developer,Always
1,,,,,,,,,,,,,,,I don't know,Maybe,Maybe,"Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),No,No,No,No,0,Not applicable to me,Not applicable to me,43,M,Designer,Sometimes
0,500-1000,1.0,Yes,No,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe,Yes,Yes,I don't know,No,Some of my previous employers,No,No,"Yes, I think it would",Maybe,Very open,Yes,Yes,Yes,Yes,1,Rarely,Often,31,f,Back-end Developer,Always
0,100-500,1.0,No,No,No,No,I don't know,Somewhat difficult,Yes,No,Maybe,Maybe,No,No,Some of my previous employers,No,No,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),No,No,No,No,0,Not applicable to me,Not applicable to me,45,male,Other,Sometimes
0,100-500,1.0,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,No,No,Maybe,Maybe,No,No,"No, at none of my previous employers",No,No,"No, it has not","No, they do not",Somewhat open,Yes,Maybe,Maybe,No,0,Not applicable to me,Sometimes,26,Male,Other|Dev Evangelist/Advocate|Sales|Back-end Developer|Front-end Developer,Sometimes
0,100-500,1.0,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,"Yes, at all of my previous employers",Yes,Yes,Maybe,"No, I don't think they would",Very open,No,No,No,No,0,Not applicable to me,Not applicable to me,42,Male,DevOps/SysAdmin|Dev Evangelist/Advocate|Supervisor/Team Lead|Executive Leadership,Always
0,100-500,1.0,Yes,I am not sure,Yes,Yes,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,No,Some of my previous employers,No,No,Maybe,"No, I don't think they would",Somewhat not open,No,Yes,No,No,0,Not applicable to me,Not applicable to me,28,f,Support,Always
0,6-25,1.0,Not eligible for coverage / N/A,,No,No,I don't know,I don't know,Maybe,No,Yes,Maybe,I don't know,No,I don't know,Maybe,Maybe,Maybe,Maybe,Somewhat open,Yes,No,No,No,0,Not applicable to me,Not applicable to me,28,Male,One-person shop,Sometimes
0,100-500,1.0,Yes,No,Yes,Yes,I don't know,I don't know,Maybe,Yes,Yes,Maybe,Yes,No,"No, at none of my previous employers",Yes,Yes,Maybe,Maybe,Very open,Yes,Yes,Yes,Yes,1,Sometimes,Often,39,female,Back-end Developer,Sometimes
0,6-25,1.0,Yes,I am not sure,No,No,Yes,Somewhat easy,Maybe,Maybe,Maybe,Maybe,Yes,No,Some of my previous employers,No,No,"No, it has not",Maybe,Very open,No,Yes,No,Yes,1,Rarely,Rarely,34,Male (cis),Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer|Designer,Sometimes
0,26-100,1.0,I don't know,No,No,Yes,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,Yes,Yes,Yes,Yes,1,Sometimes,Often,28,Female,Support|Back-end Developer,Always
0,500-1000,1.0,Yes,Yes,I don't know,I don't know,Yes,Somewhat easy,Maybe,Maybe,Maybe,Yes,Yes,No,Some of my previous employers,No,No,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),No,Maybe,No,No,0,Not applicable to me,Not applicable to me,35,Female,Supervisor/Team Lead,Sometimes
0,6-25,1.0,I don't know,I am not sure,No,No,Yes,Neither easy nor difficult,No,No,Maybe,Yes,Yes,No,Some of my previous employers,Yes,Yes,Maybe,"No, I don't think they would",Somewhat open,No,No,No,No,0,Not applicable to me,Not applicable to me,42,male,HR|Supervisor/Team Lead|Executive Leadership,Sometimes
0,6-25,1.0,Yes,No,No,I don't know,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,Yes,Maybe,Maybe,"No, I don't think they would",Somewhat open,Yes,Yes,Yes,Yes,1,Rarely,Often,99,Other,Supervisor/Team Lead,Sometimes
1,,,,,,,,,,,,,,,Some of my previous employers,Maybe,Maybe,"No, I don't think it would",Maybe,Not applicable to me (I do not have a mental illness),No,Yes,Maybe,Yes,1,Sometimes,Often,29,Male,Back-end Developer,Always
1,,,,,,,,,,,,,,,Some of my previous employers,Maybe,No,Maybe,Maybe,Somewhat not open,I don't know,Yes,Yes,Yes,1,Rarely,Sometimes,34,Male ,Other|Front-end Developer|Back-end Developer|Sales|DevOps/SysAdmin|Dev Evangelist/Advocate,Sometimes
0,26-100,1.0,Yes,I am not sure,No,I don't know,I don't know,I don't know,Maybe,No,Maybe,Maybe,I don't know,No,"No, at none of my previous employers",Maybe,No,Maybe,Maybe,Not applicable to me (I do not have a mental illness),Yes,No,No,No,0,Not applicable to me,Not applicable to me,28,Male,Front-end Developer|Back-end Developer,Always
0,500-1000,1.0,I don't know,No,Yes,No,I don't know,Very easy,Maybe,No,No,No,Yes,No,,No,No,Maybe,"No, they do not",Somewhat not open,No,Maybe,No,No,0,Never,Rarely,22,F,Other,Sometimes
0,26-100,1.0,Yes,Yes,No,Yes,Yes,Neither easy nor difficult,Yes,Maybe,Maybe,Maybe,No,No,Some of my previous employers,Maybe,No,"Yes, it has","Yes, they do",Somewhat open,Yes,Yes,Yes,Yes,1,Rarely,Often,28,female,Back-end Developer,Sometimes
1,,,,,,,,,,,,,,,Some of my previous employers,Maybe,Yes,Maybe,Maybe,Somewhat open,Yes,Yes,Yes,Yes,1,Sometimes,Often,26,Female,One-person shop,Always
0,More than 1000,0.0,Yes,I am not sure,Yes,Yes,Yes,I don't know,Maybe,Maybe,Maybe,Maybe,I don't know,No,Some of my previous employers,Maybe,No,"No, I don't think it would",Maybe,Somewhat open,Yes,Maybe,Maybe,No,1,Not applicable to me,Sometimes,21,Female ,Other,Never
0,26-100,1.0,No,No,No,No,No,Somewhat easy,Yes,Maybe,Yes,Maybe,No,Yes,Some of my previous employers,Yes,Yes,"Yes, it has",Maybe,Very open,Yes,Yes,Yes,Yes,1,Rarely,Often,38,male,Back-end Developer,Never
0,More than 1000,0.0,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,No,"No, at none of my previous employers",Maybe,No,"Yes, I think it would",Maybe,Very open,Yes,Yes,Yes,Yes,1,Sometimes,Often,33,M,DevOps/SysAdmin,Sometimes
0,100-500,1.0,Yes,I am not sure,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,I don't know,No,Some of my previous employers,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Yes,Yes,Yes,No,1,Rarely,Sometimes,28,Female,Back-end Developer,Sometimes
0,26-100,1.0,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Maybe,Maybe,Yes,No,Some of my previous employers,No,No,Maybe,Maybe,Somewhat open,I don't know,Yes,Yes,Yes,1,Sometimes,Often,32,Male,Dev Evangelist/Advocate,Sometimes
0,1-5,1.0,Not eligible for coverage / N/A,,No,No,I don't know,Somewhat difficult,Yes,Maybe,No,No,I don't know,No,Some of my previous employers,No,No,Maybe,Maybe,Somewhat open,I don't know,Yes,Yes,Yes,1,Sometimes,Often,24,Female,Front-end Developer,Sometimes
0,500-1000,1.0,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,Maybe,No,Maybe,No,No,No,Some of my previous employers,Maybe,No,Maybe,"Yes, I think they would",Somewhat open,Yes,Yes,Maybe,Yes,1,Sometimes,Often,35,male,Other,Always
1,,,,,,,,,,,,,,,Some of my previous employers,Maybe,Maybe,"Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),No,No,No,No,0,Sometimes,Not applicable to me,41,Male,Supervisor/Team Lead,Sometimes
1,,,,,,,,,,,,,,,"No, at none of my previous employers",Yes,Maybe,Maybe,"Yes, I think they would",Not applicable to me (I do not have a mental illness),Yes,No,No,No,1,Not applicable to me,Not applicable to me,38,F,HR,Always
0,More than 1000,1.0,I don't know,I am not sure,No,I don't know,I don't know,Somewhat difficult,Yes,Yes,Maybe,No,No,No,"No, at none of my previous employers",No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Yes,Yes,Yes,Yes,1,Rarely,Often,24,Female,Back-end Developer,Sometimes
0,100-500,1.0,Yes,Yes,No,I don't know,I don't know,Very easy,No,No,Yes,Yes,I don't know,No,Some of my previous employers,Yes,No,"No, it has not",Maybe,Somewhat open,Yes,Yes,Yes,Yes,1,Rarely,Often,30,Male,Back-end Developer,Sometimes
0,100-500,1.0,Yes,Yes,I don't know,Yes,Yes,I don't know,Yes,Yes,No,No,I don't know,No,"No, at none of my previous employers",No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,No,No,No,0,Never,Often,47,female,Sales,Sometimes
0,More than 1000,1.0,Yes,I am not sure,I don't know,Yes,Yes,Somewhat easy,Maybe,No,No,No,I don't know,No,,Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,No,No,No,0,Not applicable to me,Not applicable to me,26,female,Front-end Developer,Never
0,100-500,1.0,Yes,Yes,No,I don't know,I don't know,Somewhat easy,No,No,No,Yes,Yes,No,Some of my previous employers,No,No,"Yes, I think it would",Maybe,Somewhat not open,I don't know,Yes,Yes,Yes,1,Sometimes,Often,32,Male,DevOps/SysAdmin|Supervisor/Team Lead,Always
