autonomo,num_func,emp_tec,papel_tec,beneficios_mental,conhecimento_opcoes_mental,discussao_formal_mental,recursos_aprendizado_mental,anonimato_protegido,dificuldade_licenca_mental,conforto_conversar_saude,conforto_discutir_supervisor,discussao_saude_mental_emp,conforto_discutir_colegas,discussao_saude_mental_colegas,discussao_saude_mental_colegas_outro,importancia_saude_fisica_emp,importancia_saude_mental_emp,emp_tec_anterior,disposto_discutir_supervisor,disturbio_saude_mental_atual,disturbio_saude_mental_passado,tratamento_profissional_mental,historico_familiar_mental,interferencia_tratamento_eficaz,interferencia_sem_tratamento_eficaz,observacoes_discussao_mental,disposto_compartilhar_amigos_familiares,disposto_apresentar_saude_entrevista,traria_saude_mental_entrevista,identificado_abertamente_mental,reacao_membros_equipe_mental,apoio_setor_tecnologia_mental,idade,genero,ano
1,,,,,,,,,,,,,,,,,,,"Yes, all of my previous supervisors",No,No,No,No,Not applicable to me,Not applicable to me,,Yes,Yes,Maybe,No,8.0,4,27.0,M,2017-01-01
1,,,,,,,,,,,,,,,,,,,"No, none of my previous supervisors",No,No,No,No,Not applicable to me,Not applicable to me,,Yes,No,No,No,5.0,3,37.0,M,2017-01-01
0,100-500,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Same level of comfort for each,Yes,Yes,Yes,Yes,No,7.0,8.0,,"No, none of my previous supervisors",Yes,Yes,Yes,,Sometimes,Sometimes,No,Yes,Maybe,Maybe,Yes,5.0,4,33.0,M,2017-01-01
0,More than 1000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I don't know,Same level of comfort for each,Yes,Yes,Yes,Yes,Yes,7.0,7.0,,,Maybe,No,Yes,Yes,Not applicable to me,Not applicable to me,No,Yes,Maybe,Maybe,No,4.0,2,28.0,M,2017-01-01
0,More than 1000,Yes,Yes,Yes,No,Yes,Yes,Yes,I don't know,Physical health,Yes,Yes,Maybe,Yes,Yes,7.0,7.0,,Some of my previous supervisors,Maybe,Don't Know,No,,Not applicable to me,Not applicable to me,Maybe,Yes,Yes,Maybe,No,7.0,1,41.0,M,2017-01-01
0,26-100,Yes,Yes,No,,No,No,Yes,Somewhat easy,Physical health,Maybe,No,Maybe,No,Yes,3.0,4.0,,"No, none of my previous supervisors",No,No,No,No,Not applicable to me,Not applicable to me,,Yes,Maybe,No,No,2.0,3,34.0,M,2017-01-01
1,,,,,,,,,,,,,,,,,,,"No, none of my previous supervisors",No,No,No,Yes,Not applicable to me,Not applicable to me,No,Yes,No,No,No,5.0,2,37.0,M,2017-01-01
0,More than 1000,Yes,Yes,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Physical health,Yes,Yes,Maybe,No,No,6.0,8.0,,Some of my previous supervisors,Yes,Possibly,Yes,,Rarely,Sometimes,No,Yes,Yes,No,No,9.0,2,28.0,M,2017-01-01
0,More than 1000,No,Yes,No,,No,No,I don't know,Somewhat difficult,Same level of comfort for each,Maybe,No,Maybe,Yes,,6.0,2.0,,,Maybe,Possibly,No,No,Not applicable to me,Not applicable to me,No,Yes,Yes,Maybe,No,5.0,3,52.0,M,2017-01-01
0,100-500,Yes,Yes,I don't know,No,No,I don't know,I don't know,Very easy,Physical health,Yes,No,Maybe,No,No,5.0,3.0,,Some of my previous supervisors,No,No,No,No,Not applicable to me,Not applicable to me,Maybe,Yes,No,No,No,7.0,2,39.0,M,2017-01-01
0,6-25,Yes,Yes,Yes,No,No,No,I don't know,Difficult,Physical health,No,No,No,No,No,1.0,0.0,,"No, none of my previous supervisors",Maybe,Possibly,No,,Not applicable to me,Often,Maybe,Yes,No,No,No,0.0,1,45.0,M,2017-01-01
1,,,,,,,,,,,,,,,,,,,"No, none of my previous supervisors",No,No,No,No,Not applicable to me,Not applicable to me,No,Yes,Maybe,No,No,7.0,2,50.0,M,2017-01-01
0,100-500,Yes,Yes,I don't know,No,No,No,I don't know,Neither easy nor difficult,Physical health,Maybe,Yes,Maybe,No,No,3.0,3.0,,"No, none of my previous supervisors",Maybe,Don't Know,Yes,,Rarely,Often,No,Yes,Maybe,No,No,6.0,1,27.0,M,2017-01-01
0,More than 1000,Yes,Yes,Yes,Yes,No,Yes,I don't know,Neither easy nor difficult,Physical health,Maybe,No,No,No,No,7.0,5.0,,Some of my previous supervisors,Yes,Yes,Yes,,Often,Often,No,Yes,Maybe,No,No,3.0,2,31.0,F,2017-01-01
0,100-500,Yes,Yes,I don't know,,No,No,I don't know,I don't know,Same level of comfort for each,Maybe,No,Maybe,No,No,0.0,3.0,,Some of my previous supervisors,Maybe,Possibly,No,,Not applicable to me,Sometimes,No,Yes,Maybe,No,No,6.0,1,,Other,2017-01-01
0,6-25,Yes,Yes,Yes,No,No,I don't know,I don't know,Somewhat easy,Physical health,No,Yes,Maybe,No,Yes,6.0,6.0,,I don't know,No,No,No,Yes,Not applicable to me,Not applicable to me,No,Yes,Yes,Maybe,No,7.0,3,31.0,M,2017-01-01
0,1-5,Yes,Yes,No,,No,No,No,Difficult,Physical health,No,No,No,No,No,2.0,0.0,,,Maybe,Possibly,No,No,Not applicable to me,Often,,Yes,Maybe,Maybe,No,2.0,2,23.0,M,2017-01-01
0,100-500,Yes,Yes,Yes,Yes,No,Yes,I don't know,I don't know,Same level of comfort for each,Yes,Yes,Yes,Yes,Yes,8.0,8.0,,Some of my previous supervisors,Yes,Yes,Yes,,Sometimes,Often,No,Yes,No,No,Yes,7.0,3,23.0,M,2017-01-01
0,100-500,Yes,Yes,I don't know,No,No,I don't know,I don't know,I don't know,Physical health,No,No,Maybe,No,Yes,2.0,1.0,,Some of my previous supervisors,No,Possibly,No,,Not applicable to me,Not applicable to me,No,Yes,Yes,No,No,6.0,2,38.0,M,2017-01-01
0,26-100,Yes,Yes,I don't know,No,No,I don't know,I don't know,I don't know,Same level of comfort for each,Maybe,No,No,No,No,7.0,6.0,,,Maybe,Don't Know,No,Yes,Not applicable to me,Sometimes,,Yes,Maybe,Maybe,No,4.0,2,37.0,M,2017-01-01
0,6-25,Yes,Yes,Yes,No,No,No,I don't know,Somewhat easy,Physical health,Maybe,No,Maybe,No,Yes,6.0,5.0,,"No, none of my previous supervisors",No,No,No,No,Rarely,Never,Maybe,Yes,No,No,No,7.0,3,33.0,M,2017-01-01
1,,,,,,,,,,,,,,,,,,,"No, none of my previous supervisors",Yes,Possibly,Yes,,Rarely,Sometimes,Yes,,No,No,No,4.0,1,34.0,M,2017-01-01
0,More than 1000,No,Yes,Yes,Yes,Yes,I don't know,I don't know,Somewhat difficult,Physical health,No,No,No,No,No,3.0,1.0,,"No, none of my previous supervisors",Maybe,Possibly,Yes,No,Sometimes,Sometimes,,Yes,Maybe,No,No,6.0,1,47.0,Other,2017-01-01
0,26-100,Yes,Yes,I don't know,No,No,I don't know,I don't know,Somewhat easy,Physical health,Maybe,Yes,No,No,No,6.0,3.0,,I don't know,Maybe,No,No,Yes,Not applicable to me,Not applicable to me,No,No,Yes,No,No,7.0,4,29.0,F,2017-01-01
0,More than 1000,No,Yes,Yes,No,I don't know,Yes,I don't know,Neither easy nor difficult,Physical health,Maybe,No,Maybe,No,No,2.0,2.0,,,No,No,No,No,Not applicable to me,Not applicable to me,No,Yes,No,No,No,4.0,2,38.0,M,2017-01-01
0,100-500,Yes,Yes,I don't know,No,No,No,I don't know,Somewhat easy,Physical health,Maybe,No,Maybe,No,No,8.0,8.0,,"No, none of my previous supervisors",Maybe,Don't Know,No,No,Not applicable to me,Not applicable to me,,Yes,No,No,No,4.0,2,29.0,M,2017-01-01
0,100-500,Yes,Yes,I don't know,No,No,No,I don't know,Somewhat easy,Same level of comfort for each,Yes,Yes,Yes,Yes,Yes,6.0,6.0,,Some of my previous supervisors,Yes,Yes,Yes,,Sometimes,Often,Maybe,Yes,Yes,Yes,No,7.0,3,37.0,M,2017-01-01
1,,,,,,,,,,,,,,,,,,,"No, none of my previous supervisors",Yes,Don't Know,Yes,No,Sometimes,Often,,No,Yes,No,No,7.0,1,39.0,M,2017-01-01
0,100-500,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Same level of comfort for each,Maybe,Yes,Yes,Yes,Yes,8.0,8.0,,Some of my previous supervisors,Yes,Yes,Yes,Yes,Sometimes,Often,No,Yes,Maybe,No,Yes,8.0,2,29.0,F,2017-01-01
1,,,,,,,,,,,,,,,,,,,Some of my previous supervisors,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Maybe,Yes,Maybe,No,No,2.0,2,57.0,F,2017-01-01
0,6-25,Yes,Yes,Not eligible,,I don't know,I don't know,I don't know,Somewhat easy,Same level of comfort for each,Yes,No,Yes,Yes,No,8.0,8.0,,"Yes, all of my previous supervisors",Yes,Yes,Yes,Yes,Rarely,Often,No,Yes,Maybe,No,No,6.0,4,27.0,F,2017-01-01
0,More than 1000,No,Yes,I don't know,No,No,No,I don't know,I don't know,Same level of comfort for each,Yes,No,Yes,No,No,7.0,5.0,,I don't know,No,No,No,No,Not applicable to me,Not applicable to me,,Yes,Maybe,Maybe,No,5.0,3,38.0,F,2017-01-01
1,,,,,,,,,,,,,,,,,,,"No, none of my previous supervisors",No,Yes,Yes,,Not applicable to me,Not applicable to me,Yes,Yes,Maybe,No,No,4.0,1,39.0,M,2017-01-01
0,More than 1000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Same level of comfort for each,Yes,Yes,Yes,No,Yes,9.0,9.0,,Some of my previous supervisors,Yes,Yes,Yes,Yes,Rarely,Often,No,Yes,Maybe,Maybe,Yes,9.0,4,29.0,M,2017-01-01
0,100-500,No,Yes,No,,No,No,No,Somewhat difficult,Physical health,No,No,No,No,No,5.0,0.0,,"No, none of my previous supervisors",Yes,Yes,Yes,Yes,Rarely,Sometimes,No,Yes,No,No,No,2.0,1,24.0,M,2017-01-01
0,26-100,Yes,Yes,No,No,Yes,No,I don't know,Somewhat easy,Same level of comfort for each,Yes,Yes,Yes,Yes,Yes,10.0,8.0,,Some of my previous supervisors,Yes,Yes,Yes,Yes,Not applicable to me,Often,Maybe,Yes,Yes,Yes,Yes,6.0,2,30.0,F,2017-01-01
0,500-1000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Same level of comfort for each,Maybe,No,Maybe,No,No,8.0,8.0,,"No, none of my previous supervisors",Maybe,Don't Know,No,,Not applicable to me,Not applicable to me,Maybe,Yes,Maybe,Maybe,No,8.0,4,32.0,M,2017-01-01
0,100-500,Yes,Yes,Yes,Yes,Yes,I don't know,Yes,Somewhat easy,Same level of comfort for each,Yes,Yes,Yes,Yes,Yes,7.0,7.0,,Some of my previous supervisors,Yes,Possibly,Yes,Yes,Rarely,Sometimes,No,Yes,Maybe,Maybe,Yes,5.0,3,37.0,M,2017-01-01
0,6-25,Yes,Yes,No,No,No,No,I don't know,Somewhat easy,Physical health,No,No,Maybe,No,No,8.0,2.0,,I don't know,No,Don't Know,No,No,Not applicable to me,Not applicable to me,,No,No,No,No,5.0,1,34.0,M,2017-01-01
0,100-500,Yes,No,Yes,Yes,Yes,Yes,Yes,Very easy,Same level of comfort for each,Yes,Yes,Yes,Yes,Yes,7.0,10.0,,"Yes, all of my previous supervisors",No,No,Yes,Yes,Not applicable to me,Not applicable to me,No,Yes,Yes,Yes,No,9.0,5,52.0,M,2017-01-01
0,100-500,No,Yes,Yes,Yes,No,I don't know,I don't know,Difficult,Physical health,No,No,No,No,No,8.0,0.0,,"No, none of my previous supervisors",Yes,Possibly,No,Yes,Sometimes,Often,,No,No,No,No,5.0,1,36.0,M,2017-01-01
0,100-500,No,Yes,Yes,No,No,I don't know,Yes,Neither easy nor difficult,Physical health,No,Yes,Maybe,Yes,No,5.0,5.0,,Some of my previous supervisors,Yes,Yes,Yes,No,Sometimes,Often,No,Yes,Maybe,Yes,No,8.0,2,52.0,M,2017-01-01
0,100-500,Yes,No,Yes,Yes,No,No,Yes,Very easy,Physical health,Maybe,Yes,Yes,Yes,Yes,10.0,10.0,,"No, none of my previous supervisors",No,No,No,No,Not applicable to me,Not applicable to me,Maybe,No,Yes,No,No,6.0,1,49.0,F,2017-01-01
0,More than 1000,Yes,Yes,Yes,Yes,I don't know,Yes,I don't know,I don't know,Physical health,Maybe,Yes,Maybe,No,No,10.0,6.0,,Some of my previous supervisors,Yes,Yes,Yes,,Sometimes,Often,,Yes,Maybe,No,No,4.0,2,30.0,M,2017-01-01
0,6-25,Yes,Yes,Not eligible,No,No,No,I don't know,Very easy,Same level of comfort for each,Yes,Yes,Yes,Yes,No,5.0,6.0,,"Yes, all of my previous supervisors",Yes,Yes,Yes,Yes,Sometimes,Often,No,Yes,Maybe,Maybe,Yes,6.0,4,41.0,M,2017-01-01
0,More than 1000,No,Yes,I don't know,No,No,I don't know,I don't know,Somewhat easy,Same level of comfort for each,Yes,No,Yes,Yes,No,9.0,7.0,,"Yes, all of my previous supervisors",Maybe,No,No,Yes,Rarely,Sometimes,No,Yes,No,No,No,10.0,3,29.0,M,2017-01-01
0,More than 1000,Yes,Yes,Yes,Yes,Yes,Yes,I don't know,Very easy,Physical health,No,No,No,No,No,7.0,10.0,,"No, none of my previous supervisors",Yes,No,Yes,No,Sometimes,Often,Yes,Yes,No,No,No,0.0,1,37.0,Other,2017-01-01
0,100-500,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Same level of comfort for each,Maybe,Yes,Yes,Yes,Yes,8.0,8.0,,"No, none of my previous supervisors",Yes,Possibly,Yes,Yes,Sometimes,Often,Maybe,Yes,Maybe,Maybe,Yes,8.0,3,29.0,F,2017-01-01
0,500-1000,Yes,Yes,Yes,Yes,No,Yes,Yes,Very easy,Same level of comfort for each,Yes,Yes,Yes,Yes,Yes,8.0,6.0,,Some of my previous supervisors,Yes,Yes,Yes,Yes,Rarely,Often,No,Yes,Maybe,Maybe,Yes,5.0,3,39.0,F,2017-01-01
0,100-500,Yes,Yes,Yes,Yes,Yes,Yes,I don't know,Very easy,Same level of comfort for each,Yes,Yes,Yes,Yes,Yes,5.0,5.0,,Some of my previous supervisors,Yes,Yes,Yes,Yes,Often,Often,No,Yes,No,No,Yes,5.0,3,30.0,F,2017-01-01
0,26-100,Yes,Yes,Yes,Yes,Yes,No,Yes,Somewhat easy,Same level of comfort for each,Yes,Yes,Yes,Yes,Yes,10.0,8.0,,Some of my previous supervisors,Yes,Yes,Yes,Yes,Rarely,Often,No,Yes,Maybe,No,No,10.0,2,23.0,F,2017-01-01
0,More than 1000,Yes,Yes,Yes,No,Yes,Yes,Yes,Somewhat easy,Same level of comfort for each,Maybe,No,No,No,Yes,7.0,7.0,,,Maybe,No,Yes,,Rarely,Sometimes,No,Yes,Maybe,No,No,4.0,3,29.0,F,2017-01-01
0,26-100,Yes,Yes,Yes,Yes,No,I don't know,Yes,Very easy,Same level of comfort for each,Yes,Yes,Maybe,Yes,No,7.0,8.0,,Some of my previous supervisors,Yes,Yes,Yes,Yes,Sometimes,Often,No,Yes,Maybe,Maybe,No,10.0,2,38.0,M,2017-01-01
0,More than 1000,Yes,Yes,Yes,Yes,No,No,I don't know,I don't know,Physical health,No,No,No,No,No,7.0,3.0,,"No, none of my previous supervisors",Yes,Yes,Yes,Yes,Sometimes,Often,Yes,Yes,Maybe,No,No,2.0,1,41.0,F,2017-01-01
0,100-500,Yes,Yes,Yes,Yes,No,Yes,I don't know,Very easy,Same level of comfort for each,Yes,No,Yes,Yes,Yes,5.0,7.0,,Some of my previous supervisors,No,No,No,No,Not applicable to me,Not applicable to me,No,Yes,Yes,Maybe,No,10.0,3,47.0,M,2017-01-01
0,6-25,Yes,Yes,Yes,Yes,No,No,I don't know,Somewhat difficult,Physical health,Maybe,No,No,No,Yes,7.0,5.0,,Some of my previous supervisors,Yes,Yes,Yes,Yes,Sometimes,Sometimes,,Yes,Maybe,No,No,7.0,1,56.0,F,2017-01-01
0,100-500,Yes,Yes,I don't know,No,No,I don't know,I don't know,Difficult,Physical health,No,No,No,No,No,4.0,3.0,,Some of my previous supervisors,Maybe,Possibly,No,,Rarely,Often,No,Yes,Maybe,Maybe,No,2.0,2,22.0,M,2017-01-01
0,100-500,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Same level of comfort for each,Yes,Yes,Yes,Yes,Yes,7.0,8.0,,Some of my previous supervisors,Yes,Yes,Yes,Yes,Sometimes,Often,No,Yes,No,No,Yes,6.0,2,32.0,F,2017-01-01
0,6-25,Yes,No,I don't know,No,No,No,No,Somewhat easy,Physical health,No,No,Maybe,No,No,5.0,3.0,,"No, none of my previous supervisors",Yes,Yes,Yes,Yes,Sometimes,Often,Maybe,Yes,Maybe,No,No,4.0,4,30.0,F,2017-01-01
0,100-500,Yes,Yes,Yes,No,No,No,I don't know,Neither easy nor difficult,Physical health,No,No,No,No,No,7.0,4.0,,Some of my previous supervisors,Yes,Yes,Yes,Yes,Sometimes,Often,Yes,Yes,Maybe,No,No,7.0,1,31.0,Other,2017-01-01
0,100-500,Yes,Yes,Yes,Yes,I don't know,Yes,Yes,Very easy,Same level of comfort for each,Yes,Yes,Yes,Yes,Yes,7.0,5.0,,"Yes, all of my previous supervisors",Yes,Yes,Yes,No,Rarely,Often,Maybe,Yes,No,No,No,5.0,3,36.0,M,2017-01-01
0,100-500,Yes,Yes,Yes,Yes,No,I don't know,Yes,Somewhat easy,Same level of comfort for each,Maybe,Yes,Yes,Yes,Yes,5.0,3.0,,Some of my previous supervisors,Yes,Yes,Yes,Yes,Sometimes,Often,No,Yes,Maybe,No,No,7.0,1,32.0,M,2017-01-01
0,6-25,Yes,Yes,Yes,Yes,No,No,I don't know,Somewhat easy,Same level of comfort for each,Yes,Yes,Yes,Yes,Yes,10.0,10.0,,Some of my previous supervisors,Yes,Yes,Yes,Yes,Sometimes,Often,Maybe,Yes,Maybe,No,Yes,10.0,2,37.0,F,2017-01-01
0,6-25,No,Yes,I don't know,No,No,No,Yes,Somewhat difficult,Physical health,Maybe,No,No,No,No,8.0,7.0,,Some of my previous supervisors,Maybe,Yes,Yes,,Rarely,Rarely,No,Yes,Yes,Maybe,No,5.0,3,29.0,M,2017-01-01
0,26-100,Yes,Yes,Yes,Yes,No,No,I don't know,Somewhat easy,Physical health,No,No,No,Yes,No,3.0,5.0,,"No, none of my previous supervisors",Yes,No,Yes,,Rarely,Often,Yes,Yes,Maybe,No,No,3.0,3,31.0,F,2017-01-01
0,100-500,Yes,Yes,Yes,Yes,No,Yes,I don't know,Neither easy nor difficult,Physical health,Maybe,No,Maybe,Yes,Yes,5.0,5.0,,Some of my previous supervisors,Yes,Yes,Yes,Yes,Not applicable to me,Sometimes,No,Yes,Maybe,No,Yes,6.0,3,39.0,M,2017-01-01
0,100-500,No,Yes,I don't know,No,Yes,Yes,No,Neither easy nor difficult,Physical health,Yes,No,Maybe,No,No,7.0,8.0,,I don't know,Maybe,No,No,Yes,Sometimes,Often,,Yes,Maybe,No,No,4.0,2,36.0,M,2017-01-01
1,,,,,,,,,,,,,,,,,,,"No, none of my previous supervisors",Yes,Yes,Yes,,Rarely,Often,No,Yes,No,No,No,3.0,2,27.0,Other,2017-01-01
0,More than 1000,Yes,Yes,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Physical health,No,No,Maybe,Yes,No,7.0,5.0,,Some of my previous supervisors,No,No,No,No,Sometimes,Rarely,No,,Maybe,No,No,5.0,2,38.0,M,2017-01-01
1,,,,,,,,,,,,,,,,,,,"No, none of my previous supervisors",Yes,Don't Know,Yes,Yes,Sometimes,Often,Yes,Yes,Yes,No,No,4.0,3,37.0,M,2017-01-01
0,100-500,Yes,Yes,Yes,No,Yes,Yes,Yes,Somewhat easy,Same level of comfort for each,Maybe,No,Yes,Yes,Yes,9.0,9.0,,I don't know,No,Yes,Yes,No,Rarely,Sometimes,No,Yes,No,No,No,5.0,4,33.0,F,2017-01-01
0,6-25,Yes,Yes,No,No,I don't know,No,I don't know,Neither easy nor difficult,Same level of comfort for each,Yes,Yes,Yes,Yes,Yes,8.0,8.0,,Some of my previous supervisors,Maybe,Possibly,No,,Sometimes,Often,No,Yes,Maybe,Maybe,No,9.0,2,38.0,M,2017-01-01
0,100-500,Yes,Yes,Yes,No,Yes,I don't know,I don't know,Neither easy nor difficult,Same level of comfort for each,Yes,No,Yes,Yes,Yes,5.0,5.0,,"No, none of my previous supervisors",Maybe,Yes,Yes,Yes,Sometimes,Often,No,Yes,Maybe,No,No,10.0,4,36.0,Other,2017-01-01
0,100-500,Yes,Yes,No,,No,No,I don't know,Somewhat easy,Same level of comfort for each,Maybe,No,Maybe,No,Yes,0.0,0.0,,Some of my previous supervisors,No,No,No,,Not applicable to me,Not applicable to me,Maybe,No,No,No,No,2.0,1,30.0,F,2017-01-01
0,26-100,Yes,Yes,Yes,Yes,Yes,Yes,I don't know,Somewhat difficult,Same level of comfort for each,Yes,Yes,,Yes,,,6.0,,,,,Yes,Yes,I don't know,Often,Often,No,Yes,,,0.0,"Yes, I experienced",,Other,2017-01-01
0,26-100,Yes,Yes,No,,No,No,I don't know,Somewhat easy,Physical health,No,Yes,Maybe,Yes,No,6.0,6.0,,Some of my previous supervisors,Yes,Possibly,Yes,Yes,Rarely,Often,,Yes,Maybe,No,No,6.0,2,35.0,F,2017-01-01
0,6-25,Yes,Yes,Yes,No,No,No,Yes,Somewhat difficult,Same level of comfort for each,Yes,Yes,Yes,Yes,No,7.0,5.0,,"No, none of my previous supervisors",Yes,Yes,Yes,Yes,Rarely,Often,No,Yes,No,Yes,Yes,10.0,2,26.0,M,2017-01-01
0,100-500,No,Yes,I don't know,Yes,No,Yes,Yes,I don't know,Physical health,Yes,No,Maybe,No,Yes,7.0,7.0,,Some of my previous supervisors,Maybe,No,No,No,Rarely,Not applicable to me,,,Yes,Maybe,No,7.0,2,25.0,M,2017-01-01
0,100-500,Yes,Yes,Not eligible,Yes,Yes,Yes,Yes,Somewhat difficult,Physical health,No,No,No,No,No,7.0,8.0,,"No, none of my previous supervisors",No,Yes,Yes,,Sometimes,Often,No,Yes,No,No,No,5.0,2,40.0,M,2017-01-01
0,6-25,Yes,Yes,Yes,Yes,No,No,Yes,Very easy,Physical health,Yes,No,Maybe,No,Yes,6.0,2.0,,Some of my previous supervisors,No,No,No,,Not applicable to me,Not applicable to me,,Yes,Yes,No,No,5.0,1,31.0,M,2017-01-01
0,26-100,Yes,Yes,Yes,No,No,I don't know,I don't know,Neither easy nor difficult,Same level of comfort for each,Maybe,No,Maybe,Yes,Yes,8.0,6.0,,Some of my previous supervisors,Maybe,Possibly,Yes,,Rarely,Rarely,Maybe,Yes,Maybe,No,No,4.0,2,49.0,M,2017-01-01
0,26-100,Yes,Yes,I don't know,No,No,No,I don't know,Very easy,Physical health,No,No,Maybe,No,No,7.0,6.0,,Some of my previous supervisors,Maybe,No,No,Yes,Not applicable to me,Not applicable to me,Maybe,Yes,Maybe,Maybe,No,5.0,2,30.0,M,2017-01-01
0,100-500,No,Yes,I don't know,No,No,I don't know,I don't know,I don't know,Same level of comfort for each,Maybe,No,Maybe,No,No,5.0,4.0,,I don't know,Maybe,Don't Know,No,No,Not applicable to me,Not applicable to me,,Yes,No,No,No,5.0,3,35.0,M,2017-01-01
0,100-500,No,Yes,Yes,Yes,Yes,No,I don't know,I don't know,Physical health,Yes,No,Yes,Yes,Yes,3.0,1.0,,"No, none of my previous supervisors",Yes,Yes,Yes,Yes,Rarely,Often,Maybe,Yes,No,No,No,5.0,2,46.0,M,2017-01-01
0,100-500,Yes,Yes,I don't know,Yes,No,I don't know,Yes,Neither easy nor difficult,Physical health,Yes,No,Maybe,No,No,10.0,8.0,,Some of my previous supervisors,Maybe,Don't Know,Yes,Yes,Rarely,Sometimes,No,Yes,Maybe,No,No,5.0,3,29.0,F,2017-01-01
0,26-100,No,Yes,Yes,Yes,No,No,I don't know,Very easy,Physical health,No,No,No,No,Yes,2.0,2.0,,"No, none of my previous supervisors",Yes,Yes,Yes,Yes,Sometimes,Often,Yes,Yes,Yes,No,No,3.0,4,22.0,M,2017-01-01
0,100-500,Yes,No,Yes,,No,Yes,Yes,Very easy,Physical health,Maybe,No,Yes,Yes,Yes,7.0,9.0,,"No, none of my previous supervisors",Yes,Yes,Yes,Yes,Rarely,Sometimes,,Yes,No,No,Yes,8.0,2,50.0,F,2017-01-01
0,6-25,Yes,Yes,I don't know,No,No,I don't know,I don't know,Very easy,Same level of comfort for each,Yes,No,Yes,No,No,5.0,5.0,,Some of my previous supervisors,Maybe,Don't Know,No,No,Rarely,Rarely,No,No,Maybe,No,No,5.0,2,39.0,M,2017-01-01
0,6-25,No,Yes,No,No,Yes,Yes,I don't know,Neither easy nor difficult,Physical health,Maybe,Yes,Maybe,Yes,No,9.0,7.0,,"No, none of my previous supervisors",Yes,Yes,Yes,No,Sometimes,Often,Yes,,Yes,No,Yes,4.0,3,40.0,M,2017-01-01
0,100-500,Yes,Yes,Yes,Yes,I don't know,Yes,I don't know,I don't know,Same level of comfort for each,Maybe,No,Maybe,No,Yes,5.0,5.0,,"No, none of my previous supervisors",No,Yes,Yes,Yes,Sometimes,Sometimes,No,Yes,Maybe,Maybe,No,8.0,3,31.0,M,2017-01-01
1,,,,,,,,,,,,,,,,,,,Some of my previous supervisors,Yes,Yes,Yes,No,Sometimes,Often,No,Yes,Maybe,No,No,10.0,2,38.0,M,2017-01-01
0,More than 1000,No,Yes,Yes,Yes,No,I don't know,I don't know,Difficult,Physical health,No,No,No,No,No,9.0,9.0,,"No, none of my previous supervisors",Yes,Yes,Yes,Yes,Sometimes,Often,Yes,Yes,No,No,No,1.0,1,45.0,M,2017-01-01
0,100-500,Yes,Yes,Yes,No,I don't know,Yes,I don't know,Somewhat easy,Physical health,No,No,Maybe,Yes,Yes,5.0,7.0,,I don't know,Yes,Yes,Yes,Yes,Rarely,Often,No,Yes,No,No,Yes,7.0,3,31.0,F,2017-01-01
0,100-500,Yes,No,Yes,Yes,No,Yes,Yes,Very easy,Physical health,Yes,No,Maybe,No,No,5.0,9.0,,"No, none of my previous supervisors",Maybe,Don't Know,Yes,No,Rarely,Not applicable to me,Maybe,Yes,Maybe,No,No,9.0,3,25.0,F,2017-01-01
0,500-1000,No,Yes,I don't know,Yes,No,No,Yes,I don't know,Physical health,No,No,Maybe,No,No,10.0,5.0,,"No, none of my previous supervisors",Yes,Yes,Yes,Yes,Rarely,Often,Maybe,Yes,Yes,Maybe,No,8.0,2,28.0,F,2017-01-01
0,More than 1000,Yes,Yes,Yes,No,Yes,Yes,I don't know,I don't know,Physical health,Maybe,No,Maybe,No,No,7.0,7.0,,I don't know,Maybe,Possibly,No,No,Sometimes,Sometimes,Maybe,Yes,Maybe,No,No,8.0,2,37.0,M,2017-01-01
0,1-5,Yes,Yes,No,,No,No,No,Neither easy nor difficult,Physical health,Maybe,No,Maybe,No,No,6.0,4.0,,,Maybe,No,No,No,Sometimes,Sometimes,No,Yes,Maybe,No,No,6.0,4,54.0,M,2017-01-01
0,More than 1000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I don't know,Physical health,No,No,No,No,No,10.0,6.0,,"No, none of my previous supervisors",Yes,Yes,Yes,Yes,Rarely,Sometimes,,Yes,No,No,No,4.0,2,45.0,F,2017-01-01
0,500-1000,Yes,Yes,Yes,Yes,No,No,I don't know,I don't know,Physical health,Yes,Yes,Yes,Yes,No,5.0,3.0,,,Yes,Yes,Yes,Yes,Rarely,Often,No,Yes,No,No,No,5.0,3,36.0,M,2017-01-01
0,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,Same level of comfort for each,Maybe,No,Maybe,Yes,Yes,6.0,6.0,,Some of my previous supervisors,Yes,Yes,Yes,,Sometimes,Often,Maybe,Yes,Maybe,Maybe,No,5.0,3,34.0,F,2017-01-01
